sl_no,judge_name,states,districts
660,V M Sahai,,Bageshwar
661,V Malimath,,Chamoli
662,V Narayan,,Champawat
663,V Parthiban,,Dehradun
664,V R Kingaonkar,,Haridwar
665,V Ramasubramanian,,Nainital
666,V Ramaswami,,Pauri Garhwal
667,V Rao,,Pithoragarh
668,V S Sirpurkar,,Rudraprayag
669,V Sabhahit,,Tehri Garhwal
670,V Singh,,Udham Singh Nagar
671,Vandana Kasrekar,,Uttarkashi
672,Veena Birbal,,Alipurduar
673,Veerendra Singh Siradhana,,Bankura
674,Vijay Bishnoi,,Paschim Bardhaman
675,Vijay Manohar,,Purba Bardhaman
676,Vijay Manohar Sahai,,Birbhum
677,Vineet Kothari,,Cooch Behar
678,Vineet Saran,,Dakshin Dinajpur
679,Vipin Sanghi,,Darjeeling
680,Virendra Singh,,Hooghly
681,Vishnu Chandra Gupta,,Howrah
682,Vishnu Pratap Singh,,Jalpaiguri
683,Vishnu Pratap Singh Chauhan,,Jhargram
684,Vivek Varma,,Kalimpong
685,Yashvardhan Kumar Sinha,,Kolkata
686,Z K Saiyed,,Maldah
687,,,Murshidabad
688,,,Nadia
689,,,North 24 Parganas
690,,,Paschim Medinipur
691,,,Purba Medinipur
692,,,Purulia
693,,,South 24 Parganas
694,,,Uttar Dinajpur
695,,,Nicobar
696,,,North and Middle Andaman
697,,,South Andaman
698,,,Chandigarh
699,,,Daman
700,,,Diu
701,,,Dadra and Nagar Haveli
702,,,Anantnag
703,,,Bandipora
704,,,Baramulla
705,,,Badgam
706,,,Doda
707,,,Ganderbal
708,,,Jammu
709,,,Kathua
710,,,Kishtwar
711,,,Kulgam
712,,,Kupwara
713,,,Poonch
714,,,Pulwama
715,,,Rajouri
716,,,Ramban
717,,,Reasi
718,,,Samba
719,,,Shopian
720,,,Srinagar
721,,,Udhampur
722,,,Kargil
723,,,Leh
724,,,Lakshadweep
725,,,Central Delhi
726,,,East Delhi
727,,,New Delhi
728,,,North Delhi
729,,,North East Delhi
730,,,North West Delhi
731,,,Shahdara
732,,,South Delhi
733,,,South East Delhi
734,,,South West Delhi
735,,,West Delhi
736,,,Karaikal
737,,,Mahé
738,,,Pondicherry
739,,,Yanam
